"","Recall_comprehension","Recall_writing","Recall_check1","Recall_check2","study_order","ManiCheck_esteem_1","ManiCheck_esteem_2","ManiCheck_esteem_3","ManiCheck_mean","Exp1_check","Exp1_prob_hiring","Exp1_loyalty","Exp1_honesty","Exp2_S1_check","Exp2_S1_seen_wrong","Exp2_S1_self_action","Exp2_S1_guide_other","Exp2_S2F_check","Exp2_S2F_seen_wrong","Exp2_S2F_self_action","Exp2_S2F_guide_other","Exp2_S2M_check","Exp2_S2M_seen_wrong","Exp2_S2M_self_action","Exp2_S2M_guide_other","MASC_set1_1","MASC_set1_2","MASC_set1_3","MASC_set1_4","MASC_set1_5","MASC_set1_6","MASC_set1_7","MASC_set1_8","MASC_set2_1","MASC_set2_2","MASC_set2_3","MASC_set2_4","MASC_set2_5","MASC_set2_6","MASC_set3_1","MASC_set3_2","MASC_set1_mean","MASC_set2_mean","MASC_set3_mean","BIDR_self_deceptive","BIDR_impre_manage","age","gender","origcount","residence","soc_class","engunder","funnel_pay","assignmentId","hitId","CountryCode","CountryName","Duration__in_seconds_","condition","Exp2_S2_seen_wrong_T2","Exp2_S2_self_action_T2","Exp2_S2_guide_other_T2"
"1",1,"I once took some money on the counter that I knew was not all my money.","Very guilty",1,"Exp2First",6,6,6,6,1,1,1,1,3,8,3,2,NA,NA,NA,NA,1,3,7,7,3,2,3,3,4,2,3,3,6,3,2,2,4,2,5,4,3.6875,3.33333333333333,4.5,6,8,39,2,"US","US",3,7,4,"3HUTX6F6VUOZKDUFYXODK78VFCPO2P","31KPKEKW4AE6JP5ZP29B6FJY9SW0B5","","",553,"Dissonance_write",3,7,7
"2",1,"I was checking out at a store and my son was scanning the items.  I believe he missed one of the towels but I did not go back and look.  We paid and left.  I felt guilty about this","guilt",1,"Exp2First",3,4,3,3.33333333333333,1,1,2,2,3,2,1,1,NA,NA,NA,NA,1,4,7,5,4,3,2,3,5,2,1,1,6,3,4,3,4,6,6,6,3.5625,3.91666666666667,6,4,4,63,2,"United States","United States",4,7,6,"3ND9UOO81K3DQ8PPZPXSGXKQOEFLWN","3XH7ZM9YX2VBVQA1LVEUZ5PVUIT9R3","","",574,"Dissonance_write",4,7,5
"3",1,"In high school, there were some girls that liked me, but I didn't want to be with them.  I said some bad things to friends about them and word got out.","regret, shame  I feel embarassed and ashamed that I did that because it was wrong.",1,"Exp2First",5,5,6,5.33333333333333,1,7,4,7,3,2,7,8,1,1,9,9,NA,NA,NA,NA,2,1,2,4,3,2,2,6,2,2,4,5,6,2,6,5,3.625,3.5,5.5,2,0,30,1,"USA","USA",4,7,5,"3TYCR1GOTCKHK3UUACHZF1E85HCLZ8","3RQVKZ7ZRKKQDN5NR819K1QHN1227K","","",450,"Dissonance_write",1,9,9
"4",1,"I sold a used mattress to someone knowing that someone had recently died on it and did not disclose that information.","I feel guilty and remorseful.",1,"Exp2First",5,5,6,5.33333333333333,1,1,1,3,3,7,2,2,1,7,2,1,NA,NA,NA,NA,6,5,5,5,6,6,4,4,4,4,6,5,6,2,4,2,4.8125,4,3,4,1,40,2,"United States","United States",4,7,3,"3AUQQEL7U5UNEN0YKM6DWB9OE8V0VE","3K3IX1W4S6S4OW4R09O5Q500ZJZPAK","","",554,"Dissonance_write",7,2,1
"5",1,"I remember a time when I was at a casino playing blackjack. I noticed that the dealer was weak and if I sat in the right spot I could see what their card was even though it was supposed to be hidden. I knew this was wrong but I took advantage of it to win more money. I cared more about making more for myself than alerting this worker that they were making an error. This was a small casino, not a big corporate one, so it is a dealer that would be around a lot. And I know that they would get in trouble if they saw on camera how weak they were. Yet I took advantage of it just to make some money.","I feel bad and upset at myself.",1,"Exp1First",1,1,2,1.33333333333333,1,1,2,2,3,8,1,1,NA,NA,NA,NA,1,2,1,2,4,1,1,1,2,1,1,5,2,4,4,4,4,3,6,7,3.25,3.5,6.5,11,5,37,1,"USA","USA",4,7,6,"38BQUHLA9W1PRHY88F7XZGMTLIZOMB","3XBYQ44Z6P5ZN101IVTHD4YOG5NWT7","","",578,"Dissonance_write",2,1,2
"6",1,"In my past I have acted unethical behavior by not being loyal to my long time committed girlfriend when I was in my early 20s. I selfishly cheated on her with other women when you wasn't around and the shame and guilt began to affect my tremendously.","I feel guilty about it and come to the realization that I was acting very immature.",1,"Exp2First",4,5,5,4.66666666666667,1,4,3,7,3,7,3,3,NA,NA,NA,NA,1,3,2,6,4,3,5,5,3,4,3,6,2,5,5,3,6,2,6,5,4.3125,3.66666666666667,5.5,2,2,33,1,"USA","USA",3,5,5,"3LYA37P8IQOAIZ9WJYPVEJUQPELKBY","3NKW03WTLM8MVL891RZM8ZN1WYOWQT","","",510,"Dissonance_write",3,2,6
"7",1,"I had a business with a friend at one point. One time I was emailed about selling some of our product to someone but I didn't tell my friend and I kept the money from this transaction for myself off the record.","guilt, shame",1,"Exp2First",5,5,5,5,1,1,1,1,3,9,2,2,1,2,7,7,NA,NA,NA,NA,5,3,3,4,2,3,3,4,4,3,6,6,6,5,7,6,3.9375,4.25,6.5,2,3,34,1,"USA","USA",2,7,5,"3QECW5O0KH27W2IACXCACOHUYVQ5TO","3QI9WAYOGQC0EM8G2DBN553PQKGS6D","","",591,"Dissonance_write",2,7,7
"8",1,"I once kept a customer's change at work. He had mailed in cash, which we strongly advise against, and he sent in about $4-$5 too much. I returned it to him but the post office sent it back to us with a forwarding address. I pocketed the money instead of sending out again.","guilty, dishonest. Because it wasn't my money to keep.",1,"Exp2First",5,4,7,5.33333333333333,1,2,3,3,3,6,7,7,1,5,6,7,NA,NA,NA,NA,5,2,3,3,6,5,4,5,3,5,4,3,6,6,3,6,4.3125,4,4.5,1,2,32,1,"usa","usa",3,7,7,"308XBLVESI5W53MR9IYSFVG4K6FRBY","3J6BHNX0U9TAXO10WLO2GUY14GSKNY","","",689,"Dissonance_write",5,6,7
"9",1,"I did not help a woman carry her groceries after seeing her struggle with them and I should have or at least offer to.","I feel guilty about it, because I would accept the help and perhaps she was too shy to ask anyone.",1,"Exp1First",7,7,7,7,1,1,1,1,3,9,1,1,NA,NA,NA,NA,1,9,9,1,6,3,3,4,6,6,4,5,3,3,3,4,2,5,5,5,4.5625,3.41666666666667,5,1,12,32,2,"United States","United States",4,7,7,"3OLQQLKKNSQDEIFYB4R9EC0YDMYEJT","3HXK2V1N4KG96GGOKB53QE3AM4L2GN","","",775,"Dissonance_write",9,9,1
"10",1,"I didn't want to marry my ex-husband, and I was quite sure about this. My dad had a chronic illness, and he wanted to see me paired up before he passed. Never the less, I went through with the wedding anyway, and it backfired massively. The man I married was not kind. Despite this, I had to take responsibility for what I had done. I felt awful, every day -- guilty, remorseful, depressed, and weak.","I felt crushing remorse and helplessness.",1,"Exp1First",7,3,7,5.66666666666667,1,1,1,1,3,7,1,1,1,5,1,3,NA,NA,NA,NA,6,1,1,2,3,1,5,5,1,1,6,7,2,4,3,5,3.75,3.5,4,4,16,56,2,"USA","USA",3,7,6,"3M23Y66PO2820659SGHPUPZ8S7NS62","3KA7IJSNW669769J6NO1LGK6H1KPBF","","",688,"Dissonance_write",5,1,3
"11",1,"I once took some beer from a work outing after it was over.  My company paid for beers to be had at a tailgate.  After it was over we had leftover beer and I took some for myself.","I felt a little bit bad afterwards.  I did however, feel like I sort of deserved it because I put on the tailgate and put a lot of work into it.",1,"Exp1First",6,5,6,5.66666666666667,1,3,3,4,3,6,6,5,1,3,7,7,NA,NA,NA,NA,6,4,3,3,5,5,4,4,3,5,6,2,2,3,5,5,4.375,3.5,5,3,5,38,1,"United States","United States",4,7,6,"3FUI0JHJPXZZJ6XCJZIQFEFCQ0N33G","3Y7LTZE0YTNIH9KVTN3YH4E8GLYZUR","","",660,"Dissonance_write",3,7,7
