"","study_order","ManiCheck","Exp1_check","Exp1_check_DO_1","Exp1_check_DO_2","Exp1_check_DO_3","Exp1_prob_hiring","Exp1_loyalty","Exp1_honesty","Exp2_S1_check","Exp2_S1_seen_wrong","Exp2_S1_self_action","Exp2_S1_guide_other","Exp2_S2F_check","Exp2_S2F_seen_wrong","Exp2_S2F_self_action","Exp2_S2F_guide_other","Exp2_S2M_check","Exp2_S2M_seen_wrong","Exp2_S2M_self_action","Exp2_S2M_guide_other","MASC_set1","MASC_set2","MASC_set3","BIDR_self_deceptive","BIDR_impre_manage","age","gender","origcount","residence","soc_class","engunder","funnel_pay","assignmentId","hitId","CountryCode","CountryName","Duration__in_seconds_","condition","Exp2_S2_seen_wrong_T2","Exp2_S2_self_action_T2","Exp2_S2_guide_other_T2"
"1","Exp2First",4,1,1,2,3,1,1,1,3,8,3,2,NA,NA,NA,NA,1,3,7,7,3.6875,3.33333333333333,4.5,6,8,39,2,"US","US",3,7,4,"3HUTX6F6VUOZKDUFYXODK78VFCPO2P","31KPKEKW4AE6JP5ZP29B6FJY9SW0B5","","",553,"Dissonance_write",3,7,7
"2","Exp2First",2.66666666666667,1,3,1,2,1,2,2,3,2,1,1,NA,NA,NA,NA,1,4,7,5,3.5625,3.91666666666667,6,4,4,63,2,"United States","United States",4,7,6,"3ND9UOO81K3DQ8PPZPXSGXKQOEFLWN","3XH7ZM9YX2VBVQA1LVEUZ5PVUIT9R3","","",574,"Dissonance_write",4,7,5
"3","Exp2First",3.66666666666667,1,1,3,2,7,4,7,3,2,7,8,1,1,9,9,NA,NA,NA,NA,3.625,3.5,5.5,2,0,30,1,"USA","USA",4,7,5,"3TYCR1GOTCKHK3UUACHZF1E85HCLZ8","3RQVKZ7ZRKKQDN5NR819K1QHN1227K","","",450,"Dissonance_write",1,9,9
"4","Exp2First",3.66666666666667,1,1,3,2,1,1,3,3,7,2,2,1,7,2,1,NA,NA,NA,NA,4.8125,4,3,4,1,40,2,"United States","United States",4,7,3,"3AUQQEL7U5UNEN0YKM6DWB9OE8V0VE","3K3IX1W4S6S4OW4R09O5Q500ZJZPAK","","",554,"Dissonance_write",7,2,1
"5","Exp1First",1.66666666666667,1,3,2,1,1,2,2,3,8,1,1,NA,NA,NA,NA,1,2,1,2,3.25,3.5,6.5,11,5,37,1,"USA","USA",4,7,6,"38BQUHLA9W1PRHY88F7XZGMTLIZOMB","3XBYQ44Z6P5ZN101IVTHD4YOG5NWT7","","",578,"Dissonance_write",2,1,2
"6","Exp2First",3.33333333333333,1,2,3,1,4,3,7,3,7,3,3,NA,NA,NA,NA,1,3,2,6,4.3125,3.66666666666667,5.5,2,2,33,1,"USA","USA",3,5,5,"3LYA37P8IQOAIZ9WJYPVEJUQPELKBY","3NKW03WTLM8MVL891RZM8ZN1WYOWQT","","",510,"Dissonance_write",3,2,6
"7","Exp2First",3.5,1,1,2,3,1,1,1,3,9,2,2,1,2,7,7,NA,NA,NA,NA,3.9375,4.25,6.5,2,3,34,1,"USA","USA",2,7,5,"3QECW5O0KH27W2IACXCACOHUYVQ5TO","3QI9WAYOGQC0EM8G2DBN553PQKGS6D","","",591,"Dissonance_write",2,7,7
"8","Exp2First",3.66666666666667,1,1,2,3,2,3,3,3,6,7,7,1,5,6,7,NA,NA,NA,NA,4.3125,4,4.5,1,2,32,1,"usa","usa",3,7,7,"308XBLVESI5W53MR9IYSFVG4K6FRBY","3J6BHNX0U9TAXO10WLO2GUY14GSKNY","","",689,"Dissonance_write",5,6,7
"9","Exp1First",4.5,1,3,2,1,1,1,1,3,9,1,1,NA,NA,NA,NA,1,9,9,1,4.5625,3.41666666666667,5,1,12,32,2,"United States","United States",4,7,7,"3OLQQLKKNSQDEIFYB4R9EC0YDMYEJT","3HXK2V1N4KG96GGOKB53QE3AM4L2GN","","",775,"Dissonance_write",9,9,1
"10","Exp1First",3.83333333333333,1,1,2,3,1,1,1,3,7,1,1,1,5,1,3,NA,NA,NA,NA,3.75,3.5,4,4,16,56,2,"USA","USA",3,7,6,"3M23Y66PO2820659SGHPUPZ8S7NS62","3KA7IJSNW669769J6NO1LGK6H1KPBF","","",688,"Dissonance_write",5,1,3
"11","Exp1First",3.83333333333333,1,2,1,3,3,3,4,3,6,6,5,1,3,7,7,NA,NA,NA,NA,4.375,3.5,5,3,5,38,1,"United States","United States",4,7,6,"3FUI0JHJPXZZJ6XCJZIQFEFCQ0N33G","3Y7LTZE0YTNIH9KVTN3YH4E8GLYZUR","","",660,"Dissonance_write",3,7,7
"12","Exp1First",3.66666666666667,1,3,2,1,1,1,2,3,9,1,1,NA,NA,NA,NA,1,2,7,7,3.5,4.25,4,0,12,36,1,"USA","USA",2,7,5,"3GU1KF0O4I2BTQ6CWQU3A0GPJORPB4","3H4IKZHALBJB5UM3TYGI8MF5YBXNN6","","",513,"Dissonance_write",2,7,7
"13","Exp1First",3.16666666666667,1,1,2,3,3,3,5,3,8,5,2,1,9,1,2,NA,NA,NA,NA,2.9375,3.66666666666667,5.5,7,6,48,1,"USA","USA",3,7,4,"33FBRBDW6O09X3Z1O9ONZYRHCZR8CA","35A1YQPVFEHF1456SI749XJ2LR3I5V","","",868,"Dissonance_write",9,1,2
"14","Exp2First",3.66666666666667,1,3,1,2,1,1,1,3,8,1,1,1,6,1,1,NA,NA,NA,NA,4.375,4.33333333333333,4.5,5,5,56,2,"US","US",4,7,3,"3DR23U6WE5F7SLB3NY5DGIN7BOPETY","3NKW03WTLM8MVL891RZM8ZN1WYOWQT","","",958,"Dissonance_write",6,1,1
"15","Exp2First",3.16666666666667,1,3,1,2,3,5,3,3,7,3,3,NA,NA,NA,NA,1,3,6,6,4.0625,3.58333333333333,4,2,1,61,2,"United states","United States",3,7,6,"3NGI5ARFTT6AGSOKUT1E4O3GXC0P1L","31KSVEGZ34TM7MN9E6OMDPX6SKQWRU","","",960,"Dissonance_write",3,6,6
"16","Exp1First",4,1,2,1,3,1,3,2,3,7,9,8,NA,NA,NA,NA,1,1,9,9,4.5625,4.41666666666667,6.5,8,1,40,2,"United States","United States",3,7,6,"3JPSL1DZ5S067VP7AXHFB0RO1R5ANY","3XQ4XW3OD9DCWLPFFBZKFSMDAFES2W","","",597,"Dissonance_write",1,9,9
"17","Exp2First",3.66666666666667,1,2,1,3,3,1,1,3,2,6,7,NA,NA,NA,NA,1,1,1,7,3.6875,3.41666666666667,6,5,7,47,2,"United States","United States",3,7,3,"345LHZDEDXTJI0AVYJER2N5C3D63UN","3D3B8GE892SQJDUM83A5UAPGT1HP95","","",808,"Dissonance_write",1,1,7
"18","Exp1First",2.33333333333333,1,1,3,2,1,5,1,3,9,1,1,1,9,1,3,NA,NA,NA,NA,2.9375,4.16666666666667,6.5,3,5,50,1,"United States","United States",2,7,5,"3AQF3RZ558JTW10NMWHQNQGT3HT6FX","3B623HUYJ4RNI0R4VS8LPJZGWF6S8Z","","",1114,"Dissonance_write",9,1,3
"19","Exp2First",4,1,2,3,1,3,3,3,3,7,3,5,1,7,1,3,NA,NA,NA,NA,3.5,4.25,5,0,5,30,1,"USA","USA",4,7,3,"3NG53N1RLVKSRS85TEATJYQOBI7P86","3QREJ3J433YK9OYFK88N32UCZLSKLW","","",534,"Dissonance_write",7,1,3
"20","Exp1First",2.66666666666667,1,2,1,3,3,1,3,3,3,7,6,NA,NA,NA,NA,1,1,9,9,5.1875,3.5,4,5,1,40,1,"United States","United States",4,7,7,"3LRKMWOKB5IBJH8M06ZU05FZZHL2Z0","3MG8450X2OBO35IP6E5WQ6CU6MRUP1","","",560,"Dissonance_write",1,9,9
"21","Exp2First",2.83333333333333,1,2,1,3,3,4,4,3,9,1,1,1,1,9,6,NA,NA,NA,NA,5.125,3.75,4.5,10,1,27,2,"usa","usa",2,7,2,"3N1FSUEFL51IJUIDC2TL2STUVD7D48","3NCN4N1H1GI94LX6Q8B9HRFBHMJNBH","","",924,"Dissonance_write",1,9,6
"22","Exp1First",3.5,1,2,3,1,3,1,2,3,5,3,1,1,2,5,1,NA,NA,NA,NA,4.875,3.5,7,0,8,35,1,"United States","United States",2,7,1,"3CN4LGXD5XPLH5D48YGZFD3VD1D4Y7","31GN6YMHLPTY81NMTVOR3Z22EM9WSI","","",911,"Dissonance_write",2,5,1
"23","Exp2First",3.33333333333333,1,3,2,1,1,1,1,3,9,1,1,1,3,7,6,NA,NA,NA,NA,4.8125,4.33333333333333,6,7,1,39,2,"USA","USA",2,7,7,"3C6FJU71TQUKY37JN47HSH1PCE1YUO","3E22YV8GG17B8FYG9DTACBK0YQYNP2","","",1315,"Dissonance_write",3,7,6
"24","Exp2First",2.83333333333333,1,3,1,2,1,1,1,3,5,2,2,1,3,1,1,NA,NA,NA,NA,3.625,3.58333333333333,2.5,6,8,43,1,"United States of America","United States of America",1,7,2,"37M28K1J0QEAO5YMVZPNITA7S71JA4","3PIOQ99R7YNO0K6CQZS4MH7Z67QUN5","","",1027,"Dissonance_write",3,1,1
"25","Exp1First",2.33333333333333,1,3,1,2,1,1,1,3,9,1,1,1,1,5,5,NA,NA,NA,NA,4.1875,3.75,5,7,5,45,1,"usa","usa",4,7,6,"3JC6VJ2SABK2H6J16XLTHJR2A67A5A","3RWB1RTQDJOQ58BC3B4RUEU59VZP8G","","",783,"Dissonance_write",1,5,5
"26","Exp1First",3.83333333333333,1,1,3,2,2,2,2,3,7,5,3,NA,NA,NA,NA,1,3,2,2,5,4.41666666666667,5.5,6,5,66,2,"USA","USA",3,7,5,"3S0TNUHWKTJJ2V5FO5JYJ49ZXZ58DC","31GN6YMHLPTY81NMTVOR3Z22EM9WSI","","",684,"Dissonance_write",3,2,2
"27","Exp1First",3.5,1,3,2,1,1,2,3,3,2,5,4,NA,NA,NA,NA,1,3,4,4,4.5,3.83333333333333,7,0,2,37,2,"United States of America","United States of America",4,7,6,"3DH6GAKTYYQ1K21TTR6P99G4EWHZYF","351S7I5UG9XFM4VIE0OQFFYOPRSNJ2","","",714,"Dissonance_write",3,4,4
"28","Exp1First",3.66666666666667,1,2,3,1,4,5,5,3,8,1,1,1,6,2,3,NA,NA,NA,NA,3,4.91666666666667,4,2,16,55,1,"United States","United States",2,7,5,"3ERMJ6L4DYTI6B69RTQVOU0YVTR7M6","3XEIP58NL0OFYJX1K9BXQHIP3U5ZLX","","",695,"Dissonance_write",6,2,3
"29","Exp2First",3.83333333333333,1,1,2,3,2,2,2,3,3,7,7,1,5,5,5,NA,NA,NA,NA,4.8125,3.91666666666667,6,1,5,67,1,"usa","usa",2,7,7,"3TE3O8573092HQMVQP5HE2D0Q042R9","3BO3NEOQM0IC7AHNNEYLH8ZOD54IA1","","",996,"Dissonance_write",5,5,5
"30","Exp2First",3,1,3,1,2,3,2,2,3,9,1,1,1,8,2,3,NA,NA,NA,NA,3.4375,3.91666666666667,5.5,1,9,57,2,"USA","USA",1,7,5,"35H6S234SA11U47YGK4H1EPGENH56F","3PA41K45VN5M5U6TT6CLGEYAYBTP7T","","",1097,"Dissonance_write",8,2,3
"31","Exp1First",3,1,2,3,1,1,1,1,3,9,1,1,NA,NA,NA,NA,1,2,5,2,2.9375,3.08333333333333,5.5,3,16,34,1,"US","US",4,7,3,"34HJIJKLP5X4DBIZ3NTF8EZ1VKCV4Q","3Y7LTZE0YTNIH9KVTN3YH4E8GLYZUR","","",867,"Dissonance_write",2,5,2
"32","Exp1First",3.5,1,3,2,1,1,1,1,3,9,1,1,1,9,1,1,NA,NA,NA,NA,4.25,4.33333333333333,7,6,14,67,2,"United States","United States",5,7,4,"3LS2AMNW5FRGCWW008EEGP6YVJWQO0","34D9ZRXCYRV11OKJSQSZLA5BM36SA3","","",1884,"Dissonance_write",9,1,1
"33","Exp2First",3.5,1,1,3,2,2,3,6,3,9,1,1,NA,NA,NA,NA,1,1,8,7,4.0625,3.91666666666667,6.5,1,5,38,1,"United States","United States",4,7,5,"36DSNE9QZ5ZZQ9SN5IU5JOUCHO4OJ7","3NKW03WTLM8MVL891RZM8ZN1WYOWQT","","",714,"Dissonance_write",1,8,7
"34","Exp1First",3,1,1,3,2,5,2,3,3,8,2,3,NA,NA,NA,NA,1,8,2,2,4.875,4.75,5.5,2,11,32,1,"United States","United States",5,4,4,"3XIQGXAUMC9T0N5D50S4ZBGW2XAX7F","3RWB1RTQDJOQ58BC3B4RUEU59VZP8G","","",400,"Dissonance_write",8,2,2
"35","Exp1First",3.83333333333333,1,3,1,2,4,3,4,3,7,4,3,1,5,4,5,NA,NA,NA,NA,4.125,4.25,4.5,4,11,29,1,"USA","USA",2,7,4,"33LK57MYLT64OGPKULE0RNS3XBKZS0","39KV3A5D188JIMMLLNGFBJ3LLV0S7C","","",883,"Dissonance_write",5,4,5
"36","Exp2First",3.5,1,1,3,2,7,6,3,3,7,2,1,1,4,6,1,NA,NA,NA,NA,3.625,4.66666666666667,3.5,6,1,22,2,"United States","United States",2,7,6,"3WYP994K17SZWSHIRM9ECBN99SSY6V","3OPLMF3EU5OLHUJIHL03VUBGTG2NL9","","",337,"Dissonance_write",4,6,1
"37","Exp2First",3.5,1,1,3,2,7,7,7,3,7,8,8,NA,NA,NA,NA,1,5,8,8,3.8125,4.66666666666667,7,7,7,58,2,"England","United States of America",4,7,7,"3OJSZ2ATDSXKY4L3ZU997SPC9Y957M","3L55D8AUFAYMQPTQBAGF9RJ03RSYCU","","",918,"Dissonance_write",5,8,8
"38","Exp2First",2.16666666666667,1,1,2,3,1,1,1,3,7,3,2,NA,NA,NA,NA,1,3,6,7,3.625,4.08333333333333,6,2,8,42,1,"United States","United States",3,7,4,"3OS46CRSLF0ISYMDMBMU5CJFRBQV6J","3TZ0XG8CBUL5DLV5MM8U8OUQ4RN89A","","",902,"Dissonance_write",3,6,7
"39","Exp1First",2,1,3,2,1,2,2,2,3,9,1,1,NA,NA,NA,NA,1,9,1,1,2.75,4.41666666666667,7,3,13,48,2,"USA","USA",4,7,7,"3FE2ERCCZX9VCKVL0VZPGKGOQNKPOI","3VADEH0UHCY8OSQLH9AWB5U6LPBPSL","","",635,"Dissonance_write",9,1,1
"40","Exp1First",2.83333333333333,1,1,2,3,1,1,1,3,9,1,1,1,9,1,1,NA,NA,NA,NA,4.0625,3.83333333333333,6,4,8,63,2,"USA","USA",4,7,7,"33F859I566EJG98ODDMY1REYXXRHB1","3N5YJ55YXG44LBSEKUBDMGV5Z43NAR","","",891,"Dissonance_write",9,1,1
"41","Exp1First",4,1,3,2,1,1,1,1,3,9,1,1,1,7,2,2,NA,NA,NA,NA,3.125,4.58333333333333,1.5,1,12,73,1,"United States","United States",4,7,4,"3VBEN272MK04XZUF4TQB6GCXML0SGE","3ZG552ORAM5SOD6J964PQF6K9JE2VH","","",836,"Dissonance_write",7,2,2
