"","study_order","ManiCheck","Exp1_prob_hiring","Exp1_loyalty","Exp1_honesty","Exp2_S1_seen_wrong","Exp2_S1_self_action","Exp2_S1_guide_other","Exp2_S2F_seen_wrong","Exp2_S2F_self_action","Exp2_S2F_guide_other","Exp2_S2M_seen_wrong","Exp2_S2M_self_action","Exp2_S2M_guide_other","MASC_set1","MASC_set2","MASC_set3","BIDR_self_deceptive","BIDR_impre_manage","age","gender","origcount","residence","soc_class","engunder","funnel_pay","assignmentId","hitId","CountryCode","CountryName","condition","Exp2_S2_seen_wrong_T2","Exp2_S2_self_action_T2","Exp2_S2_guide_other_T2"
"1","Exp2First",3.66666666666667,8,9,3,4,5,8,NA,NA,NA,3,6,3,4.375,3.5,6,6,6,74,3,"Pede posuere urna proin sollicitudin justo. Amet turpis odio et. Bibendum at magnis non lacus.","Turpis mattis! Et tellus. Vestibulum maecenas aliquam proin et consequat auctor malesuada fusce tempus.",6,6,1,"","","","","Dissonance_write",3,6,3
"2","Exp2First",4.33333333333333,2,5,5,3,6,8,5,6,2,NA,NA,NA,4.0625,4.08333333333333,3.5,6,7,93,2,"Scelerisque tellus auctor vulputate dictumst consequat auctor tincidunt nunc aenean velit.","Mauris ac massa, arcu. Facilisis bibendum augue pretium mattis elementum.",6,3,1,"","","","","Dissonance_write",5,6,2
"3","Exp1First",3.16666666666667,5,3,5,8,1,9,3,3,1,NA,NA,NA,4.625,3.75,2,7,10,20,4,"Elementum imperdiet. A sit ultricies tempus ultricies facilisi tortor duis duis. Sodales proin.","Malesuada scelerisque ab! Lacus facilisi commodo. Sapien velit praesent praesent enim iaculis dignissim scelerisque.",1,1,5,"","","","","Dissonance_write",3,3,1
"4","Exp2First",3.16666666666667,6,6,7,7,8,8,4,4,1,NA,NA,NA,4.375,4.41666666666667,2.5,6,10,82,2,"Malesuada? At, tempor vel metus temporibus lorem enim in ut porta pretium aliquet rhoncus.","Vivamus sagittis primis egestas risus fusce erat! Eleifend urna! Ante.",3,6,4,"","","","","Dissonance_write",4,4,1
"5","Exp1First",2.5,8,1,6,4,8,6,2,4,5,NA,NA,NA,4.125,3.91666666666667,4,4,6,14,2,"Scelerisque sagittis? Risus. Viverra, in placerat eleifend ab. Ab integer molestie volutpat auctor.","Tempor accusamus? Nulla venenatis tempor tempus convallis ut dui bibendum etiam orci commodo? Consequat, volutpat.",6,1,6,"","","","","Dissonance_write",2,4,5
"6","Exp2First",2.33333333333333,6,4,3,8,1,4,3,7,1,NA,NA,NA,4.625,3.75,3,4,4,31,1,"Est mauris sagittis, eleifend commodo ultricies tortor fringilla? Mi eget proin eu tellus dictumst.","Temporibus pellentesque quam, nulla gravida quis eget molestie sagittis laoreet urna. Eros odio.",2,3,7,"","","","","Dissonance_write",3,7,1
"7","Exp1First",3.66666666666667,6,1,1,5,4,8,NA,NA,NA,8,9,2,4.5625,3.16666666666667,3,4,4,10,3,"Risus consequat iaculis at erat proin tempor natoque praesent ut, urna pellentesque fusce consequat arcu.","Arcu facilisis? Justo ipsum volutpat? Integer. Metus atque aliquet. Urna! Ac lorem diam ipsum.",5,6,6,"","","","","Dissonance_write",8,9,2
"8","Exp2First",2.83333333333333,1,6,6,6,6,5,NA,NA,NA,4,7,9,3.6875,4.08333333333333,2,3,7,94,3,"Aliquam? Arcu, metus tempus sed sem magna vitae primis id euismod.","Pharetra luctus? Convallis vel proin proin molestie scelerisque id ipsum massa? Vel at.",1,4,4,"","","","","Dissonance_write",4,7,9
"9","Exp1First",2.83333333333333,7,1,4,1,8,1,5,5,4,NA,NA,NA,4.4375,4.75,1.5,4,7,33,4,"Suscipit a culpa vel! Viverra luctus commodo tempora pharetra dolor eget tempus.","Convallis atque dolor leo luctus, convallis ultricies, velit commodo turpis, placerat.",2,4,4,"","","","","Dissonance_write",5,5,4
"10","Exp1First",2.33333333333333,6,2,8,8,7,5,8,8,8,NA,NA,NA,4.125,4,3.5,8,2,30,2,"Natoque elementum mauris, fringilla sed massa. Vulputate ligula nulla elementum pharetra metus risus.","Cras consectetuer neque tincidunt scelerisque? Accusamus purus. Sodales eu sodales accusamus? Volutpat magna mauris.",2,3,4,"","","","","Dissonance_write",8,8,8
"11","Exp2First",3.33333333333333,7,9,5,6,7,3,5,8,2,NA,NA,NA,3.9375,3.5,4.5,5,7,74,2,"Commodo lorem tortor pretium. Eleifend tempora placerat ligula. Quis tincidunt blandit lectus dapibus quis.","Fringilla dictumst elementum sit pede dictumst mauris curabitur commodo porta.",2,5,5,"","","","","Dissonance_write",5,8,2
"12","Exp1First",3.33333333333333,1,9,5,2,7,6,NA,NA,NA,5,9,1,4.5,3.75,3,6,7,83,4,"Nulla quis maecenas maecenas? Neque arcu pharetra. Consequat a blandit ac.","Velit. Nunc tempor amet pellentesque integer molestie dapibus phasellus sagittis? Vel est.",1,5,7,"","","","","Dissonance_write",5,9,1
"13","Exp1First",2.66666666666667,9,9,9,6,8,8,5,3,7,NA,NA,NA,4.6875,2.83333333333333,4,5,3,67,2,"Blandit ante aliquam a diam! Odio egestas, elementum commodo suscipit wisi.","Vehicula sed aliquam. Aenean viverra cursus praesent montes! Donec. Tempora ac.",5,3,5,"","","","","Dissonance_write",5,3,7
"14","Exp2First",3.16666666666667,4,3,1,5,6,8,4,4,5,NA,NA,NA,4.125,3.33333333333333,4.5,6,9,86,3,"Accumsan felis erat. Laoreet morbi euismod volutpat metus eleifend wisi erat, suscipit commodo? Placerat sed.","Dapibus donec imperdiet. Imperdiet elementum sagittis risus morbi nullam culpa porta velit duis.",5,2,3,"","","","","Dissonance_write",4,4,5
"15","Exp2First",3.83333333333333,9,5,7,6,4,4,5,8,4,NA,NA,NA,4.6875,3.16666666666667,2.5,7,4,3,2,"Consequat per ante molestie dolor, sem felis. Fringilla? Faucibus. In pellentesque donec massa! Et.","Integer. Fringilla leo. Quam proin quis amet. Primis. Donec, mauris.",5,7,7,"","","","","Dissonance_write",5,8,4
"16","Exp1First",3.16666666666667,1,4,5,8,3,4,NA,NA,NA,6,8,6,4.125,3.66666666666667,2.5,3,7,71,3,"Bibendum porttitor! Eleifend. Pellentesque laoreet luctus facilisis duis blandit sem sed neque.","Accusamus augue ipsum neque interdum pretium facilisi! Euismod tortor tempus.",3,1,6,"","","","","Dissonance_write",6,8,6
"17","Exp1First",3.83333333333333,7,5,1,5,1,7,3,9,2,NA,NA,NA,4.25,4.25,5,12,4,14,3,"Ante et convallis. Ultricies accusamus suscipit. Gravida ullamcorper? Amet ridiculus, porta.","Primis, fringilla sit primis eleifend mi ridiculus posuere lectus? Rutrum, rutrum.",6,7,4,"","","","","Dissonance_write",3,9,2
